Wind Speed (m/s),Actual Blade Angle,Predicted Blade Angle,Power Output (Actual) (W),Power Output (Predicted) (W),Difference in Power Output (W)
4.821634769,2.58314575573631,2.5843434394536,129703.483534381,129707.616869874,4.13333549335948
6.957470894,2.05594936374926,2.27475570191774,384226.858841438,386495.624679382,2268.7658379444
7.522923946,1.25175088516574,1.23924317322829,475187.034456298,475023.083684314,-163.950771984004
10.37924957,1.65576057038965,1.26921429713751,1261873.09557117,1248566.25553238,-13306.840038785
16.15279007,7.27881877337752,7.03933656499427,5485813.93067636,5454740.33701851,-31073.5936578531
12.4263401,1.34926843321423,1.99562109163413,2147340.73883827,2185524.15916299,38183.420324719
11.82528019,6.92722480818574,7.47214806701122,2134548.4554147,2162290.93314288,27742.4777281787
5.669410229,1.27988376437635,1.23972227369253,203542.506071103,203317.186428007,-225.319643095543
12.86056042,4.21235330480858,4.3734225433198,2567900.37571085,2578448.32101965,10547.9453087994
8.580166817,2.97750327179206,2.12425037218624,738565.787560079,721972.190153865,-16593.597406214
11.66576004,7.54730621093725,8.06890775191075,2079633.32050762,2105128.23525636,25494.914748745
3.517482042,1.56390709819521,1.68553577848083,48991.8506423085,49154.8204836434,162.969841334838
2.227252007,1.50640532245952,1.25280072017464,12418.0307172518,12331.7644931907,-86.2662240610316
6.700759888,0.927827886750038,0.796731352463279,332796.469828567,331582.133577711,-1214.33625085594
9.845365524,3.86008322413274,3.1819444145949,1141760.04659204,1121835.44184254,-19924.604749507
8.98530674,1.03670360933398,1.68513653804138,804858.179993783,819340.540880762,14482.360886979
15.14927959,8.16796779242559,8.28838444506196,4620756.97859552,4633646.53806434,12889.5594688198
5.332530022,1.52165334328725,0.443415118739505,170500.610763512,165466.877101294,-5033.73366221783
5.287892818,2.76605482948703,2.75221326290917,171919.497070219,171856.487174812,-63.0098954067507
6.022898197,2.056014101245,2.36145875242697,249259.002115533,251313.589766194,2054.58765066121
13.20775032,1.01271653505896,1.80516375809489,2554571.22175442,2610783.66739862,56212.4456441947
3.400504112,0.483757174110374,0.14760210011065,42957.113686049,42550.159832231,-406.953853818057
7.275948048,2.14617510940216,2.25946815079527,440512.718155464,441856.248827604,1343.53067214036
7.957015038,0.941646356371204,1.62924679716698,557473.316584589,568138.35108008,10665.0344954912
1.957625031,1.02632328723622,1.0819563758926,8321.16343072376,8334.01325775647,12.8498270327163
12.99806023,3.80087496050461,3.58933480648975,2623328.85214177,2609026.61308199,-14302.2390597789
7.80683279,2.27269778043664,2.56047665034759,545997.987791352,550213.585085271,4215.59729391849
3.527705908,0.88956969944151,0.727543863477176,48508.8467884371,48289.8503914788,-218.996396958326
4.118922234,0.455597485016813,0.919057682186978,76280.0848263301,77277.1850209808,997.100194650717
